dealer_postal_code ,Latitude,Longitude
T5S 1Y8,53.549233,-113.666536
T6V 1H4,53.604536,-113.578942
T6H 1B7,53.492482,-113.493143
T6X 1A1,53.421713,-113.48973
T8N 7X1,53.674928,-113.638065
T5L 4H5,53.591185,-113.564813
T6E 0G7,53.499461,-113.483908
T8H 2N1,53.546014,-113.327893
T9E 6T9,53.281782,-113.546323
T5V 0C3,53.576926,-113.589133
T5L 5H7,53.599913,-113.570655
T5J 2E5,53.544736,-113.491391
T5J 2R7,53.521746,-113.466265
T5B 2N1,53.567,-113.464409
T6E 5P2,53.466121,-113.472256
T8H 0X5,53.551967,-113.311705
T8H 0R5,53.556586,-113.310874
T6H 1H1,53.496786,-113.495747
T6E 6A4,53.46741,-113.474281
T6H 4J7,53.48981,-113.493039
T5A 1C3,53.592721,-113.428304
T5Y 3B2,53.599576,-113.417911
T9E 0Z7,53.278779,-113.545601
T6E 5T6,53.466958,-113.471536
T5S 0A2,53.559947,-113.62326
T5E 4C7,53.59468,-113.491331
T5S 1E4,53.542818,-113.625713
T5B 1K3,53.579197,-113.443474
T6E 4C6,53.514708,-113.498031
T6E 5W8,53.465953,-113.477218
T9E 0W8,53.333847,-113.542417
T6E 6V6,53.497962,-113.466073
T5B 1G2,53.582496,-113.481889
T5S 1X2,53.552158,-113.683096
T7X 3A6,53.545537,-113.903261
T5L 4P6,53.592173,-113.568713
T5S 2C3,53.542727,-113.694983
T5R 1Y5,53.520408,-113.589933
T5B 1K2,53.577026,-113.443418
T6E 5P8,53.478324,-113.481022
T9E 7A7,53.274779,-113.547858
T8H 1N1,53.558652,-113.325833
T6H 2K4,53.495635,-113.497162
T5S 1S1,53.542743,-113.631555
T8L 3K8,53.70586,-113.196872
T6B 0G3,53.517728,-113.441163
T5S 1M9,53.543904,-113.630355
T5E 0E2,53.585057,-113.525642
T7X 6A5,53.544574,-113.782322
T6A 3A4,53.542306,-113.444101
T6E 5Z5,53.486069,-113.477623
T5H 0Y5,53.552205,-113.51855
T5H 3K1,53.551929,-113.517376
T6C 4H8,53.511227,-113.441257
T5B 0S4,53.570172,-113.469567
T5G 2Z1,53.582161,-113.492898
T5L 2L5,53.598442,-113.579851
T6V 1J1,53.601613,-113.588422
T9E 7L1,53.289492,-113.54546
T5G 0A8,53.559383,-113.490767
T5C 3C2,53.584064,-113.444293
T5L 2J8,53.570641,-113.532039
T8H 2A2,53.543867,-113.318065
T5S 1B1,53.540351,-113.635669
T6E 6G7,53.468482,-113.489951
T8N 2Y3,53.619324,-113.6077
T6N 1H8,53.455708,-113.474548
T9E 7A9,53.277309,-113.548286
T5S 1A4,53.541938,-113.630124
T5S 1C6,53.539442,-113.638367
T5B 0S9,53.570228,-113.473859
T6W 3G9,53.428507,-113.590232
T6N 1C1,53.46373,-113.468913
